anio,numero,asignatura,tema,enunciado,opcion_1,opcion_2,opcion_3,opcion_4,respuesta_correcta
2015,20,Fisiología y Anatomía,Cardiovascular y Respiratorio,El primer ruido cardíaco coincide con:,Final de la sístole ventricular.,Inicio de la sístole auricular.,Apertura de la válvula aórtica.,Cierre de las válvulas aurículo-ventriculares.,4
2015,21,Fisiología y Anatomía,Cardiovascular y Respiratorio,La estimulación de los barorreceptores carotídeos induce:,Bradicardia.,Vasoconstricción.,Incremento de la presión arterial.,Aumento del volumen minuto cardiaco.,1
2015,22,Fisiología y Anatomía,Sistema Nervioso y Sentidos,La estimulación simpática inhibe la:,Frecuencia cardiaca.,Digestión.,Producción y liberación de glucosa.,Sudoración.,2
2015,23,Bioquímica y Biología Molecular,Procesos Moleculares,La estimulación de los barorreceptores aumenta la:,Liberación de adrenalina.,Estimulación vagal.,Liberación de ADN.,Vasoconstricción.,2
2015,25,Fisiología y Anatomía,Cardiovascular y Respiratorio,La onda de pulso arterial:,Se amortigua y desaparece en los capilares.,Provoca los cambios de presión en las venas.,Se propaga a la misma velocidad que la sangre.,Es directamente proporcional a la distensibilidad arterial.,1
2015,26,Fisiología y Anatomía,Cardiovascular y Respiratorio,La estimulación de los cuerpos carotídeos:,Disminuye el pH en sangre arterial.,Disminuye la PCO2,Aumenta la concentración de bicarbonato en sangre arterial.,Disminuye la PO2 en sangre arterial.,2
2015,27,Estadística y Metodología,Bioestadística,"NO puede medirse directamente mediante espirometría, el volumen:",Corriente.,De reserva inspiratorio.,De reserva espiratorio.,Residual.,4
2015,28,Fisiología y Anatomía,Cardiovascular y Respiratorio,Las células alveolares de tipo II:,Recubren el 95% del epitelio alveolar.,Forman la superficie para el intercambio gaseoso.,Presentan gránulos con heparina e histamina.,Segregan agente surfactante.,4
2015,29,Fisiología y Anatomía,Cardiovascular y Respiratorio,Durante la inspiración la presión pleural:,Igual a la atmosférica.,Igual a la transpulmonar.,Positiva.,Negativa.,4
2015,30,Fisiología y Anatomía,Cardiovascular y Respiratorio,"La filtración renal de H2O ocurre en los capilares glomerulares y su reabsorción en los peritubulares, porque los primeros tienen mayor:",Permeabilidad.,Presión hidrostática.,Presión coloidosmótica.,Diámetro.,2
2015,31,Fisiología y Anatomía,Renal y Digestivo,La glucosa aparece en orina:,Siempre.,Cuando la cantidad de glucosa filtrada supera su transporte tubular máximo.,Cuando se filtra y se segrega de forma activa.,En la diabetes insípida.,2
2015,32,Fisiología y Anatomía,Renal y Digestivo,La rama ascendente del asa de Henle es impermeable al:,Sodio.,Calcio.,Cloruro.,Agua.,4
2015,33,Fisiología y Anatomía,Renal y Digestivo,"En el túbulo colector, el péptico natriurético atrial inhibe directamente:",La reabsorción de agua.,La acción de la aldosterona.,La acción de la vasopresina.,La reabsorción del sodio.,4
2015,34,Fisiología y Anatomía,Renal y Digestivo,"Si la velocidad de filtración glomerular es 125 ml/min y el aclaramiento plasmático de una sustancia “X” es de 80 ml /min, la sustancia “X”:",Sólo se filtra.,Se filtra y se reabsorbe.,Se filtra y se secreta.,Solo se secreta.,2
2015,35,Fisiología y Anatomía,Renal y Digestivo,La tasa de filtración glomerular en la nefrona aumenta si:,Disminuye la presión hidrostática en los capilares glomerulares.,Aumenta la presión osmótica en los capilares glomerulares.,Disminuye la presión hidrostática en la cápsula de Bowman.,Aumenta la resistencia en la arteriola aferente.,3
2015,36,Fisiología y Anatomía,Cardiovascular y Respiratorio,El riñón corrige la disminución de presión arterial aumentando la:,Diuresis.,Reabsorción de K+.,Excreción de Na+.,Liberación de renina.,4
2015,37,Fisiología y Anatomía,Endocrino y Reproductor,En un hipertiroideo se puede observar:,Movimientos lentos y perezosos.,Aumento de la frecuencia cardiaca.,Intolerancia al frío.,Sobrepeso.,2
2015,38,Fisiología y Anatomía,Endocrino y Reproductor,Estimula la ingesta de alimento:,Leptina.,Colescistocinina.,Neuropéptido Y.,Hormona estimulante del melanocito alfa (MSH-a).,3
2015,39,Fisiología y Anatomía,Renal y Digestivo,Es similar a la del plasma sanguíneo la concentración de electrolitos en:,Jugo pancreático inducido por secretina.,Saliva primaria.,Jugo gástrico inducido por gastrina.,Bilis tras su paso por la vesícula biliar.,2
2015,40,Fisiología y Anatomía,Endocrino y Reproductor,Las hormonas tiroideas:,Se almacenan en la tiroides.,Se unen mayoritariamente a receptores de membrana.,La más potente es la tiroxina.,Se transportan en forma libre en el plasma.,1
2015,42,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Transforma la angiotensina I en II la:,Renina.,Enzima convertidora de angiotensina.,Aldosterona.,Angiotensinasa.,2
2015,43,Fisiología y Anatomía,Sistema Nervioso y Sentidos,La pérdida de neuronas dopaminérgicas del hipotálamo aumenta la secreción hipofisaria de:,Prolactina.,L-dopa.,GH.,FSH.,1
2015,44,Fisiología y Anatomía,Renal y Digestivo,La aldosterona:,Actúa en todos los túbulos de la nefrona con la misma intensidad.,Disminuye la actividad Na+/K+/ATPasa.,Estimula la síntesis de canales de Na+.,Es una hormona peptídica.,3
2015,45,Fisiología y Anatomía,Cardiovascular y Respiratorio,El estímulo más potente para la liberación de vasopresina o ADH es:,Un aumento de osmolaridad plasmática.,El aumento de la presión arterial.,El aumento de la volemia.,La saciedad.,1
2015,46,Bioquímica y Biología Molecular,Metabolismo Energético,Las balsas lipídicas son agregados de colesterol y:,Fosfolípidos.,Triacilglicéridos.,Esfingolípidos.,Ácidos grasos.,3
2015,47,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos","En relación con las proteínas, es un proceso que NO se realiza en Golgi:",Glicosilación.,Sulfatación.,Ubiquitinación.,Formación de gránulos de secreción.,3
2015,48,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos","Para su selección, las enzimas lisosomales de nueva síntesis van marcadas con:",Monoubiquitina.,Manosa-6-fosfato.,Secuencia espiral de cuatro aminoácidos.,Fosfatidilinositol.,2
2015,49,Biología Celular e Histología,Membrana y Tráfico,Las caveolas median procesos de:,Exocitosis.,Endocitosis.,Fagocitosis.,Diapédesis.,2
2015,50,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Es una función de los peroxisomas:,Oxidación de los ácidos grasos.,Oxidación de proteínas.,Síntesis de catalasa.,Oxidación de ácidos biliares.,1
2015,51,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",La inestabilidad de los microtúbulos significa que:,Son lábiles.,Crecen por un extremo y se acortan por el otro.,Tienen tendencia a experimentar fragmentación.,Alternan fases de crecimiento con periodos de acortamiento.,4
2015,52,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",La red citoesquelética del glóbulo rojo está constituida por filamentos cortos de actina unidos mediante:,Miosina.,Tropomiosina.,Espectrina.,Fimbrina.,3
2015,53,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",La proteína motora encargada de extender el retículo endoplasmático hacia la periferia celular es:,Quinesina.,Dineína.,Dinactina.,Miosina.,1
2015,54,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",La mayoría de las proteínas mitocondriales son sintetizas por ribosomas situados en:,Citosol.,Retículo endoplásmico.,Matriz mitocondrial.,Envoltura nuclear.,1
2015,55,Biología Celular e Histología,Membrana y Tráfico,La unión intercelular que abarca todo el perímetro celular es:,Unión ocluyente.,Desmosoma.,Hemidesmosoma.,Gap.,1
2015,56,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Confiere resistencia mecánica a la matriz extracelular:,Metaloproteasa.,Colágeno.,Fibronectina.,Laminina.,2
2015,57,Biología Celular e Histología,Histología Humana,Un endotelio es un epitelio:,Simple plano.,Estratificado plano.,Seudoestratificado.,De transición.,1
2015,58,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Dan forma y estabilidad a la envoltura nuclear:,Ran GTPasa.,Laminas nucleares.,Nucleoporinas.,Filamina.,2
2015,59,Bioquímica y Biología Molecular,Procesos Moleculares,La heterocromatina:,Está poco condensada (fibras de 30-60nm),Es transcripcionalmente activa.,Contiene secuencias de DNA altamente repetitivas.,Se dispone alrededor del complejo de poro nuclear.,3
2015,60,Fisiología y Anatomía,Endocrino y Reproductor,Sostienen y nutren las células germinales masculinas las células de:,Leydig.,Merkel.,Sertoli.,Langerhans.,3
2015,61,Biología Celular e Histología,Membrana y Tráfico,La detoxificación celular de fármacos liposolubles ocurre en:,Lisosomas.,Complejo de Golgi.,Mitocondrias.,Retículo endoplásmico liso.,4
2015,62,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Pertenece a la membrana interna mitocondrial:,Monoaminooxidasas.,Porinas.,Enzimas solubles del ciclo de Krebs.,Citocromo.,4
2015,63,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Los ribosomas de las mitocondrias de los mamíferos:,Son iguales a los del citoplasma de las células eucariotas.,Poseen RNA ribosómicos 16S y 12S.,Sintetizan todas las proteínas mitocondriales.,Poseen dos subunidades de igual tamaño y estructura.,2
2015,64,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Son responsables de la forma y el movimiento de la superficie celular:,Tubulinas.,Filamentos intermedios.,Filamentos de actina.,Filamentos de miosina.,3
2015,65,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",En las células animales la citocinesis ocurre por:,La presión externa ejercida por las fibras de colágeno tipo VI.,Un anillo contráctil de alfa-tubulina.,La fusión de vesículas secretoras.,Anillo contráctil de filamentos de actina y miosina.,4
2015,66,Fisiología y Anatomía,Sistema Nervioso y Sentidos,NO tiene un origen nervioso:,Células ependimarias.,Microglía.,Astrocitos.,Células quimiosensibles bulbares.,2
2015,67,Fisiología y Anatomía,Endocrino y Reproductor,Las glándulas del colon son:,Tubulares simples.,Tubulares compuestas.,Tuboloacinares.,Acinares.,1
2015,68,Biología Celular e Histología,Membrana y Tráfico,Participan en el tránsito vesicular entre el retículo endoplasmático rugoso (RER) y el aparato de Golgi:,Clatrina.,Coatómeros (COP).,Caveolina.,Emerina.,2
2015,69,Biología Celular e Histología,Membrana y Tráfico,Forman parte de las uniones herméticas o estrechas:,Desmogleínas.,Desmocolinas.,Claudinas.,Integrinas.,3
2015,70,Fisiología y Anatomía,Cardiovascular y Respiratorio,Acompañan a las células endoteliales en los capilares:,Podocitos.,Células mesangiales.,Pericitos.,Miocitos.,3
2015,71,Inmunología,Inmunidad Adaptativa,En el ganglio linfático la mayor parte de los linfocitos T se localizan en:,Corteza periférica.,Corteza profunda.,Cordones medulares.,Senos modulares.,2
2015,72,Biología Celular e Histología,Histología Humana,El epitelio del uréter es:,Cilíndrico estratificado.,Plano estratificado.,Cúbico estratificado.,De transición.,4
2015,73,Fisiología y Anatomía,Endocrino y Reproductor,Las células de las glándulas sudoríparas ecrinas que segregan proteínas son las:,Claras.,Mioepiteliales.,Oscuras.,De los conductos.,3
2015,74,Biología Celular e Histología,Membrana y Tráfico,El movimiento de las vesículas desde su lugar de formación hacia el objetivo final se debe a:,Proteínas motoras asociadas a los largo de los microtúbulos.,Filamentos de actina y miosina.,Filamentos de vimentina.,Filamentos de queratina.,1
2015,75,Biología Celular e Histología,Membrana y Tráfico,La función principal del retículo endoplasmático liso es:,Síntesis de proteínas.,Síntesis de lípidos.,Dirigir el tráfico de las proteínas una vez sintetizada.,Síntesis de polisacáridos.,2
2015,76,Microbiología y Parasitología,Virología,El periodo de latencia de un virus:,Dura menos que su fase eclipse.,También se conoce como fase de eclipse.,Culmina con el ensamblaje de los viriones en el interior de la célula.,Finaliza con la liberación de los nuevos viriones al exterior.,4
2015,77,Microbiología y Parasitología,Virología,¿Cuál de los siguientes virus codifica una transcriptasa inversa?,Parvovirus.,Reovirus.,Hepadnavirus.,Flavivirus.,3
2015,78,Microbiología y Parasitología,Virología,¿Cuál de los siguientes virus se replica en el citoplasma?,Herpesvirus.,Parvovirus.,Poxvirus.,Adenovirus.,3
2015,79,Microbiología y Parasitología,Virología,¿Cuál de los siguientes virus tiene su material genético segmentado en el virión?,Coronavirus.,Rhabdovirus.,Ortomixovirus.,Filovirus.,3
2015,80,Microbiología y Parasitología,Virología,La cápside de los adenovirus se ensambla en:,Núcleo.,Retículo endoplasmático.,Cara interna de la membrana citoplasmática.,Citosol.,1
2015,81,Biología Celular e Histología,Membrana y Tráfico,La liberación de los rotavirus una vez finalizado su ciclo reproductivo en la célula huésped tiene lugar por:,Gemación.,Lisis celular.,Exocitosis.,Puentes intercelulares.,2
2015,82,Microbiología y Parasitología,Virología,El material genético de los filovirus es:,DNA bicatenario.,RNA bicatenario (+).,RNA monocatenario (-).,RNA monocatenario (+).,3
2015,83,Microbiología y Parasitología,Virología,La estructura de la cápside de los paramixovirus presenta simetría:,Compleja.,Icosaédrica.,Esférica.,Helicoidal.,4
2015,84,Microbiología y Parasitología,Virología,Los arbovirus se transmiten a través de:,Murciélagos.,Roedores.,Artrópodos.,Perros.,3
2015,85,Microbiología y Parasitología,Virología,El virus de la rubeola es un:,Togavirus.,Flavivirus.,Arenavirus.,Ortomixovirus.,1
2015,86,Microbiología y Parasitología,Virología,¿Cuál de los siguientes virus es un flavivirus?,Virus respiratorio sincitial.,Rinovirus.,Virus del eritema infeccioso.,Virus del dengue.,4
2015,87,Fisiología y Anatomía,Renal y Digestivo,Característicamente los rotavirus son capaces de infectar:,El sistema linfático.,El tracto digestivo.,El aparato urogenital.,Las vías respiratorias superiores.,2
2015,88,Microbiología y Parasitología,Virología,El virus de la hepatitis A y el de la hepatitis C se diferencian por:,Su tipo de material genético.,La estructura de la cápside.,La presencia o ausencia de una envoltura alrededor de la cápside.,La metodología empleada para su detección.,3
2015,89,Microbiología y Parasitología,Virología,El antiviral saquinavir que se utiliza contra el virus de la inmunodeficiencia humana es un inhibidor de la:,Fusión a la célula diana.,Transcriptasa inversa del virus.,Proteasa viral.,Integrasa viral.,3
2015,91,Microbiología y Parasitología,Bacteriología,¿Cuál es aproximadamente la mejor resolución que se obtiene en la microscopía de campo claro?,20 µm,"2,0 µm","1,0 µm","0,2 µm",4
2015,92,Microbiología y Parasitología,Micología,La tinción con verde malaquita (Schaffer- Fulton) se utiliza para visualizar:,Cápsulas.,Fimbrias.,Flagelos.,Esporas.,4
2015,93,Microbiología y Parasitología,Bacteriología,¿Qué tinción se utiliza para el diagnóstico de laboratorio de las enfermedades debidas a Mycobacterium spp?,Gram.,Ziehl-Neelsen.,Leifson.,Wirtz-Conklin.,2
2015,94,Microbiología y Parasitología,Bacteriología,El lipopolisacárido bacteriano:,Contribuye a neutralizar la carga negativa de la membrana.,Tiene una cadena O constituida por ácidos de cadena larga.,Contribuye a crear una barrera de permeabilidad.,Es un tipo de exotoxina.,3
2015,95,Microbiología y Parasitología,Bacteriología,Los ácidos teicoicos:,Se encuentran en la membrana externa de las bacterias Gram negativas.,Son polímeros de glicerol o ribitol unidos por grupos P.,Están constituidos por unidades repetitivas de glucosa y galactosa unidas por enlaces beta (1-4).,Tienen carga positiva.,2
2015,96,Microbiología y Parasitología,Antimicrobianos y Resistencias,¿A qué tipo de agentes pertenece el óxido de etileno?,Esterilizantes.,Desinfectantes.,Antisépticos.,De acción oligodinámica.,1
2015,97,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Los macrólidos inhiben la síntesis de:,La cápsula.,El peptidoglicano.,El lipopolisacárido.,Las proteínas.,4
2015,98,Microbiología y Parasitología,Antimicrobianos y Resistencias,La penicilina inhibe la síntesis de:,La membrana plasmática.,El lipopolisacárido.,El RNA ribosomal.,El peptidoglicano o mureína.,4
2015,99,Microbiología y Parasitología,Bacteriología,El agente causante de la sífilis:,Pertenece al género Spirochaeta.,Tiene flagelos periplasmáticos (endoflagelos).,Es aerobico estricto.,Tiene un flagelo polar.,2
2015,100,Microbiología y Parasitología,Bacteriología,Afectan al funcionamiento normal de la DNA girasa bacteriana las:,Quinolonas.,Macrólidos.,Tetraciclinas.,Penicilinas.,1
2015,101,Microbiología y Parasitología,Parasitología,Es un parásito intracelular obligado:,Helicobacter pylori.,Yersinia enterocolitica.,Rickettsia prowazekii.,Staphylococcus aureus.,3
2015,102,Microbiología y Parasitología,Parasitología,La fiebre Q está causada por:,Coxiella burnetii.,Toxoplasma gondii.,Corynebacterium diphtheriae.,Brucella melitensis.,1
2015,103,Microbiología y Parasitología,Bacteriología,¿Cuál de los siguientes géneros se asocia más comúnmente a infecciones urinaria en el ser humano?:,Escherichia.,Proteus.,Staphylococus.,Serratia.,1
2015,104,Microbiología y Parasitología,Bacteriología,Una colitis pseudomembranosa producida después de un consumo de antibióticos está frecuentemente asociada a una infección por:,Salmonella typhimurium.,Vibrio cholerae.,Shigella dysenteriae.,Clostridium difficile.,4
2015,105,Microbiología y Parasitología,Bacteriología,¿Cuál de los siguientes elementos es un factor de virulencia de Bacillus anthracis?,Endosporas.,Cápsulas.,Fímbrias.,Adhesinas de pared.,2
2015,107,Microbiología y Parasitología,Bacteriología,¿Cuál de los siguientes microorganismos es más sensible a la sequedad?,Neisseria meningitidis.,Bordetella pertussis.,Yersinia pestis.,Neisseria gonorrhoeae.,4
2015,108,Microbiología y Parasitología,Bacteriología,¿A qué género bacteriano pertenece la especie causante de la difteria?,Micoplasma.,Corynebacterium.,Brucella.,Acinetobacter.,2
2015,109,Microbiología y Parasitología,Bacteriología,¿Cuál de las siguientes especies bacterianas es intrínsecamente resistente a muchos antibióticos de amplio uso en clínica?,Klebsiella pneumoniae.,Haemophilus influenzae.,Streptococcus pneumoniae.,Pseudomonas aeruginosa.,4
2015,110,Microbiología y Parasitología,Bacteriología,¿Qué comparten todas las especies de los géneros Mycobacterium y Nocardia?,Presentar ácidos micólicos en su pared.,Ser patógenas de animales.,Formar hifas bien desarrolladas.,Formar endosporas.,1
2015,111,Microbiología y Parasitología,Bacteriología,Puede producir importantes intoxicaciones alimentarias:,Lenconostoc mesenteroides.,Helicobacter pylori.,Coxiella burnetti.,Staphylococcus aureus.,4
2015,112,Microbiología y Parasitología,Bacteriología,Una prueba importante para diferenciar Staphylococcus aureus de Staphylococcus epidermidis es la detección de:,Catalasa.,Coagulasa.,Utilización de citrato.,Reducción de nitrato.,2
2015,113,Microbiología y Parasitología,Bacteriología,¿Cuál es el único reservorio natural de Mycobacterium tuberculosis?,Simio.,Humano.,Ratas.,Ganado bovino.,2
2015,114,Microbiología y Parasitología,Bacteriología,Las bacterias del género Pseudomonas:,Son anaerobias estrictas.,Tienen un metabolismo fermentador.,No tienen falgelos.,Tienen un metabolismo respirador.,4
2015,115,Microbiología y Parasitología,Bacteriología,¿Cuál de las siguientes bacterias puede ser una causa de fiebres reumáticas?,Nocardia brasiliensis,Streptococcus pyogenes.,Staphylococcus epidermidis.,Enterococcus faecium.,2
2015,116,Microbiología y Parasitología,Antimicrobianos y Resistencias,Mycoplasma pneumoniae es intrínsecamente resistente a las penicilinas y cefalosporinas por:,Carecer de peptidoglicano.,Producir beta-lactamasas constitutivamente.,Poseer lípidos que impiden la penetración de estos antibióticos.,Desarrollar su ciclo vital en el interior de las células eucarióticas.,1
2015,117,Microbiología y Parasitología,Bacteriología,Produce una toxina que causa parálisis muscular flácida:,Streptococcus pyogenes.,Treponema pallidum.,Bordetella pertussis.,Clostridium botulinum.,4
2015,118,Microbiología y Parasitología,Bacteriología,La tularemia es una zoonosis causada por una especie del género:,Frankia.,Francisella.,Enterococcus.,Streptococcus.,2
2015,119,Microbiología y Parasitología,Bacteriología,Las enterobacteriaceas:,Son bacterias móviles con flagelación polar.,Pueden respirar los nitratos.,Son catalasa negativas.,No incluyen patógenos de vegetales.,2
2015,120,Microbiología y Parasitología,Bacteriología,¿Qué tipo de enfermedades producen más comúnmente en el ser humano las especies del género Campylobacter?,Infecciones urinarias.,Infecciones de transmisión sexual.,Gastroenteritis aguda.,Abortos.,3
2015,121,Inmunología,Inmunidad Innata y Complemento,"En comparación con las respuestas inmunitarias adaptativas, las innatas se caracterizan por:",Su notable especificidad.,Su gran diversidad.,Su memoria inmunológica.,Ser respuestas tempranas.,4
2015,122,Inmunología,Inmunidad Innata y Complemento,La lectina ligadora de manosa (o manano) tiene una estructura que recuerda a:,La properdina.,Una IgM.,C1q.,Una pentraxina.,3
2015,123,Inmunología,Inmunidad Innata y Complemento,El componente de mayor concentración sérica del sistema del complemento es:,C1q.,C5.,C9.,C3.,4
2015,124,Inmunología,Inmunidad Adaptativa,"Entre los leucocitos circulantes en sangre, los menos abundantes son:",Los basófilos.,Los linfocitos.,Los monocitos.,Los eosinófilos.,1
2015,125,Biología Celular e Histología,Histología Humana,"En el reclutamiento de leucocitos desde la sangre a los tejidos, la selectinas se unen a:",Integrinas.,Estructuras glucídicas.,ICAM-1,VCAM-1,2
2015,126,Inmunología,Inmunidad Innata y Complemento,"En los linfocitos NK humanos, el marcador CD16 es funcionalmente:",Una molécula de adhesión superficial.,Un tipo de receptor antigénico.,Un receptor inhibidor.,Un receptor para IgG.,4
2015,127,Inmunología,Inmunidad Adaptativa,El ligando de Fas (FasL):,Induce apoptosis.,Induce al cambio isotípico de las inmunoglobulinas.,Determina maduración en la afinidad de los anticuerpos.,Media la exocitosis de perforina.,1
2015,128,Inmunología,Inmunidad Adaptativa,Los linfocitos NKT:,Poseen receptores antigénicos de tipo KIR.,Reconocen lípidos unidos a moléculas CD1.,Poseen receptores antigénicos de Tγδ.,Producen IL-17 de forma destacada.,2
2015,129,Inmunología,Inmunidad Adaptativa,Los antígenos TI (independientes del timo):,Son buenos inductores de cambio isotípico.,Están compuestos por epítopos antigénicos repetidos idénticos.,Estimulan preferentemente a los linfocitos B foliculares.,Inducen anticuerpos de alta afinidad.,2
2015,130,Inmunología,Inmunidad Adaptativa,Presenta cadena J en su estructura:,IgM.,IgG.,IgD.,IgE.,1
2015,131,Inmunología,Inmunidad Adaptativa,"En el cambio de isotipo de cadena pesada de inmunoglubina en los linfocitos B, desempeña una función clave:",La recombinasa V(D)J.,La proteína RAG-1.,La tirosina cinasa de Bruton (BTK).,La desaminasa inducida por la activación (AID).,4
2015,132,Inmunología,Inmunidad Adaptativa,"En el procesamiento y presentación de antígenos proteínicos por vía de la clase II del Complejo Principal de Histocompatibilidad humano, intervienen:",El proteasoma.,La tapasina.,Los transportadores TAP.,La molécula HLA-DM.,4
2015,133,Inmunología,Inmunidad Adaptativa,"En la formación de complejos antígenoanticuerpo, no intervienen:",Interacciones electrostáticas.,Puentes de hidrógeno.,Interacciones hidrofóbicas.,Enlaces covalentes.,4
2015,134,Inmunología,Inmunidad Adaptativa,"En el bazo, los linfocitos T se localizan sobre todo en:",La zona marginal.,Los cordones medulares.,Los centros germinales.,Las vainas linfáticas periarteriolares.,4
2015,135,Inmunología,Inmunidad Adaptativa,Los linfocitos Tγδ:,Tienen receptores antigénicos con regiones V invariantes.,Reconocen antígenos peptídicos asociados al Complejo Principal de Histocompatibilidad.,Tienen receptores antigénicos de diversidad antigénica muy variada.,Son especialmente abundantes en los tejidos epiteliales de ciertas especies.,4
2015,136,Inmunología,Inmunidad Adaptativa,En relación a los linfocitos TH1:,Su diferencia está dirigida sobre todo por la IL-4.,Su principal función es activar los macrófagos.,Son cruciales en la inmunidad contra los microbios extracelulares.,Secretan de una manera importante IL-13.,2
2015,137,Inmunología,Inmunidad Adaptativa,En relación a los linfocitos TH2:,Estimulan las reacciones mediadas por mastocitos y esinófilos.,Producen IFN-gamma e IL-12.,Reclutan neutrófilos en las zonas de infección.,Su diferenciación es inducida por citocinas proinflamatorias.,1
